Country,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,Exporter,Form
United States,168166,220115,1426654,1097366,1171325,1204411,355731,431740,1133834,1651197,,Korea (Rep. of),Metal
Germany,,200,1670,1891,32937,48208,13392,26317,215457,277278,,Korea (Rep. of),Metal
Japan,99743,86065,44055,212649,309961,47558,34191,56130,14042,15838,,Korea (Rep. of),Metal
Hong Kong,1510,,1400,3,842,3240,7000,14402,8000,4047,,Korea (Rep. of),Metal
Switzerland,860,3815,2128,2395,2412,4879,4583,4804,4424,3579,,Korea (Rep. of),Metal
China (People's Republic of),8643,51310,12861,6675,3657,2188,8038,2452,2950,3087,,Korea (Rep. of),Metal
Taiwan,212365,167330,65,50171,747,13241,28808,1361,1286,1081,,Korea (Rep. of),Metal
Italy,,,,,15,142,181,5,101,915,,Korea (Rep. of),Metal
Turkey,,,,,75,597,200,201,500,530,,Korea (Rep. of),Metal
Singapore,,,,,14913,3585,1821,716,577,430,,Korea (Rep. of),Metal
Philippines,4021,339,139,,584,,1635,45,62,181,,Korea (Rep. of),Metal
United Kingdom,,,,,,,,,,67,,Korea (Rep. of),Metal
Russian Federation,,,704,,,,24042,15,7,45,,Korea (Rep. of),Metal
France,,,403400,558000,2,22761,8,,,20,,Korea (Rep. of),Metal
Spain,,,,,,,,2,1,6,,Korea (Rep. of),Metal
New Zealand,,,,,,228,,219,,2,,Korea (Rep. of),Metal
Viet-Nam,,,,,,0,60,,,,,Korea (Rep. of),Metal
Uruguay,,,,,,,,,,,,Korea (Rep. of),Metal
Thailand,,,,,,,60,,20,,,Korea (Rep. of),Metal
El Salvador,,,,340,1400,,,,,,,Korea (Rep. of),Metal
Poland,,3000,,,,,,,,,,Korea (Rep. of),Metal
Peru,,,,,,,,2,2,,,Korea (Rep. of),Metal
Netherlands,,80000,,,,,,4,,,,Korea (Rep. of),Metal
Malaysia,143295,171000,108000,134400,,50352,1124,,,,,Korea (Rep. of),Metal
Mexico,20,,,,,,,,,,,Korea (Rep. of),Metal
Latvia,,,,,,,,,,,,Korea (Rep. of),Metal
Kazakhstan,,,,,,,,7,,,,Korea (Rep. of),Metal
Iran (Islamic Rep. of),,,,,,260,,3,,,,Korea (Rep. of),Metal
India,,,,283,23575,4278,603,235,,,,Korea (Rep. of),Metal
Indonesia,,,,360,,,,,,,,Korea (Rep. of),Metal
Hungary,,,,,,,,2,,,,Korea (Rep. of),Metal
Greece,,,,,300,,,,,,,Korea (Rep. of),Metal
Egypt,,51409,220879,,,,,,,,,Korea (Rep. of),Metal
Estonia,,,,,,,,,,,,Korea (Rep. of),Metal
Canada,203,,,,,,,80000,,,,Korea (Rep. of),Metal
Belarus,,,,,,,,,,,,Korea (Rep. of),Metal
Brazil,,,,,,100,,,,,,Korea (Rep. of),Metal
Belgium,,,,,,,,200,,,,Korea (Rep. of),Metal
Australia,,,,,,,,,7,,,Korea (Rep. of),Metal
